address,session_id,audit_status,model,pred_swc_list,pred_swc_count,is_other,pred_source,pred_reason,rule_scores_json,rule_matched_json,llm_fallback_json,llm_explanation_json,full_report_available,full_report_chars,full_report_path,static_summary_chars,static_summary_path,record_json_path,audit_attempts,empty_report_retries_used,finding_number,execution_time,gt_swc_set,error
0x0000000020e0a4bc775eb0cbefc7cfbeafc88444,c52615e6-0fb4-4fbd-aedd-d755c6752d90,completed,deepseek_school,SWC-105|SWC-107,2,0,llm,"The SWC-105 label applies due to unprotected ETH transfers to user-derived addresses in dispersePaymentForShares, enabling fund drainage. SWC-107 is appropriate because timestamp-dependent logic in withdrawUpTo and remainingDurationForWorkClaim allows miner manipulation of critical timing operations. Evidence: dispersePaymentForShares transfers ETH to addresses derived from user data without validation; withdrawUpTo uses block.timestamp for withdrawal timing checks; remainingDurationForWorkClaim relies on block.timestamp for duration calculations","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}","{""confidence"": 0.8, ""labels"": [""SWC-105"", ""SWC-107""], ""raw"": ""{\n  \""labels\"": [\""SWC-105\"", \""SWC-107\""],\n  \""confidence\"": 0.8,\n  \""reason\"": \""Finding 1 shows unprotected ETH withdrawal via user-controlled addresses. Finding 2's looped external transfers suggest potential reentrancy risk if combined with callback patterns.\""\n}"", ""reason"": ""Finding 1 shows unprotected ETH withdrawal via user-controlled addresses. Finding 2's looped external transfers suggest potential reentrancy risk if combined with callback patterns."", ""source"": ""llm""}","{""evidence"": [""dispersePaymentForShares transfers ETH to addresses derived from user data without validation"", ""withdrawUpTo uses block.timestamp for withdrawal timing checks"", ""remainingDurationForWorkClaim relies on block.timestamp for duration calculations""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""The SWC-105 label applies due to unprotected ETH transfers to user-derived addresses in dispersePaymentForShares, enabling fund drainage. SWC-107 is appropriate because timestamp-dependent logic in withdrawUpTo and remainingDurationForWorkClaim allows miner manipulation of critical timing operations.\"",\n  \""evidence\"": [\n    \""dispersePaymentForShares transfers ETH to addresses derived from user data without validation\"",\n    \""withdrawUpTo uses block.timestamp for withdrawal timing checks\"",\n    \""remainingDurationForWorkClaim relies on block.timestamp for duration calculations\""\n  ]\n}"", ""reason"": ""The SWC-105 label applies due to unprotected ETH transfers to user-derived addresses in dispersePaymentForShares, enabling fund drainage. SWC-107 is appropriate because timestamp-dependent logic in withdrawUpTo and remainingDurationForWorkClaim allows miner manipulation of critical timing operations.""}",1,3299,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x0000000020e0a4bc775eb0cbefc7cfbeafc88444/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x0000000020e0a4bc775eb0cbefc7cfbeafc88444/record.json,1,0,5,416.8692650794983,SWC-101|SWC-105,
0x000000e45ffaab3552f1eba4b2799b6803322c12,d04b412b-703c-41db-92ee-c3f6831189ff,completed,deepseek_school,SWC-101|SWC-107,2,0,rule_multi,The SWC-101 label applies due to the arithmetic overflow vulnerability in totalSupply function. The SWC-107 label fits because the reentrancy vulnerability in Release function exposes contract to external call risks. Evidence: totalSupply multiplies weth[0].balance by 1e9 without overflow checks (SWC-101); Release function makes external calls without CEI pattern or reentrancy guards (SWC-107); Both vulnerabilities are high severity issues affecting core contract functionality,"{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""totalSupply multiplies weth[0].balance by 1e9 without overflow checks (SWC-101)"", ""Release function makes external calls without CEI pattern or reentrancy guards (SWC-107)"", ""Both vulnerabilities are high severity issues affecting core contract functionality""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""The SWC-101 label applies due to the arithmetic overflow vulnerability in totalSupply function. The SWC-107 label fits because the reentrancy vulnerability in Release function exposes contract to external call risks.\"",\n  \""evidence\"": [\n    \""totalSupply multiplies weth[0].balance by 1e9 without overflow checks (SWC-101)\"",\n    \""Release function makes external calls without CEI pattern or reentrancy guards (SWC-107)\"",\n    \""Both vulnerabilities are high severity issues affecting core contract functionality\""\n  ]\n}"", ""reason"": ""The SWC-101 label applies due to the arithmetic overflow vulnerability in totalSupply function. The SWC-107 label fits because the reentrancy vulnerability in Release function exposes contract to external call risks.""}",1,4046,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x000000e45ffaab3552f1eba4b2799b6803322c12/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x000000e45ffaab3552f1eba4b2799b6803322c12/record.json,1,0,8,1729.0948929786682,SWC-101,
0x000ee2ed96e1d1277a67864dedd42140dcc6b835,f6d3f093-91d9-4afe-8ac8-3d38074d10fd,completed,deepseek_school,SWC-101|SWC-107,2,0,rule_multi,SWC-101 applies due to integer overflow risks in arithmetic operations like rTotal calculation without SafeMath. SWC-107 fits because multiple findings show reentrancy risks in state-changing functions like _transfer where state updates precede external calls. Evidence: Unsafe multiplication in decreaseAllowance (line ~208) could overflow rTotal; _transfer function updates state before Transfer event (lines ~208-218); Reentrancy impact includes bypassing rTotal limits and balance manipulation,"{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Unsafe multiplication in decreaseAllowance (line ~208) could overflow rTotal"", ""_transfer function updates state before Transfer event (lines ~208-218)"", ""Reentrancy impact includes bypassing rTotal limits and balance manipulation""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""SWC-101 applies due to integer overflow risks in arithmetic operations like rTotal calculation without SafeMath. SWC-107 fits because multiple findings show reentrancy risks in state-changing functions like _transfer where state updates precede external calls.\"",\n  \""evidence\"": [\n    \""Unsafe multiplication in decreaseAllowance (line ~208) could overflow rTotal\"",\n    \""_transfer function updates state before Transfer event (lines ~208-218)\"",\n    \""Reentrancy impact includes bypassing rTotal limits and balance manipulation\""\n  ]\n}"", ""reason"": ""SWC-101 applies due to integer overflow risks in arithmetic operations like rTotal calculation without SafeMath. SWC-107 fits because multiple findings show reentrancy risks in state-changing functions like _transfer where state updates precede external calls.""}",1,3713,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x000ee2ed96e1d1277a67864dedd42140dcc6b835/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x000ee2ed96e1d1277a67864dedd42140dcc6b835/record.json,1,0,8,1748.2395062446594,SWC-101,
0x001fbf99b635bbce9181c6e5c3e2eee0efafc560,04289e68-c6bf-4942-bf81-f88afdec8362,timeout,deepseek_school,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},0,0,,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x001fbf99b635bbce9181c6e5c3e2eee0efafc560/record.json,1,0,0,,SWC-101,
0x0040da8480b899f555ab6904f574e0c54b31386b,78415017-e7db-4870-b25b-8bc0f0cd4525,completed,deepseek_school,SWC-101,1,0,rule_multi,"The SWC-101 label is appropriate because the contract's approve() function uses block.timestamp for critical logic with an equality check that blocks approvals almost all the time, violating ERC-20 compliance. This timestamp dependence makes the function unpredictable and miner-influenced, directly matching the integer overflow and underflow category when considering modulo arithmetic implications. Evidence: approve() contains require(now % 10000000 == 0) blocking approvals 99.99999% of time; Static analysis detected weak-prng and incorrect-equality findings in approval logic; Timestamp dependence in critical function violates standard ERC-20 behavior expectations","{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},"{""evidence"": [""approve() contains require(now % 10000000 == 0) blocking approvals 99.99999% of time"", ""Static analysis detected weak-prng and incorrect-equality findings in approval logic"", ""Timestamp dependence in critical function violates standard ERC-20 behavior expectations""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""The SWC-101 label is appropriate because the contract's approve() function uses block.timestamp for critical logic with an equality check that blocks approvals almost all the time, violating ERC-20 compliance. This timestamp dependence makes the function unpredictable and miner-influenced, directly matching the integer overflow and underflow category when considering modulo arithmetic implications.\"",\n  \""evidence\"": [\n    \""approve() contains require(now % 10000000 == 0) blocking approvals 99.99999% of time\"",\n    \""Static analysis detected weak-prng and incorrect-equality findings in approval logic\"",\n    \""Timestamp dependence in critical function violates standard ERC-20 behavior expectations\""\n  ]\n}"", ""reason"": ""The SWC-101 label is appropriate because the contract's approve() function uses block.timestamp for critical logic with an equality check that blocks approvals almost all the time, violating ERC-20 compliance. This timestamp dependence makes the function unpredictable and miner-influenced, directly matching the integer overflow and underflow category when considering modulo arithmetic implications.""}",1,3724,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x0040da8480b899f555ab6904f574e0c54b31386b/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x0040da8480b899f555ab6904f574e0c54b31386b/record.json,1,0,7,1745.805191040039,SWC-101,
0x004def62c71992615cf22786d0b7efb22850df4a,eda0b7f2-6f07-4b36-bf8b-be31bb0e464f,completed,deepseek_school,SWC-101,1,0,rule_multi,"The SWC-101 label is reasonable because multiple arithmetic operations lack overflow/underflow protection, including critical underflows in unregisterToken and general arithmetic vulnerabilities across functions. These issues can lead to contract malfunction and potential storage corruption, directly aligning with SWC-101's scope of integer overflow and underflow risks. Evidence: unregisterToken uses addresses[pos-1] without bounds check, risking underflow if pos=0; getTokens performs start+count and i-start operations without overflow safeguards; addresses.length-- in unregisterToken lacks underflow protection for the array length","{""SWC-101"": 8.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""kw:underflow"", ""re:\\boverflow\\b"", ""re:\\bunderflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},"{""evidence"": [""unregisterToken uses addresses[pos-1] without bounds check, risking underflow if pos=0"", ""getTokens performs start+count and i-start operations without overflow safeguards"", ""addresses.length-- in unregisterToken lacks underflow protection for the array length""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""The SWC-101 label is reasonable because multiple arithmetic operations lack overflow/underflow protection, including critical underflows in unregisterToken and general arithmetic vulnerabilities across functions. These issues can lead to contract malfunction and potential storage corruption, directly aligning with SWC-101's scope of integer overflow and underflow risks.\"",\n  \""evidence\"": [\""unregisterToken uses addresses[pos-1] without bounds check, risking underflow if pos=0\"", \""getTokens performs start+count and i-start operations without overflow safeguards\"", \""addresses.length-- in unregisterToken lacks underflow protection for the array length\""]\n}"", ""reason"": ""The SWC-101 label is reasonable because multiple arithmetic operations lack overflow/underflow protection, including critical underflows in unregisterToken and general arithmetic vulnerabilities across functions. These issues can lead to contract malfunction and potential storage corruption, directly aligning with SWC-101's scope of integer overflow and underflow risks.""}",1,2036,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x004def62c71992615cf22786d0b7efb22850df4a/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x004def62c71992615cf22786d0b7efb22850df4a/record.json,1,0,5,1643.6076772212982,SWC-101,
0x005d36beef6cf9844d5cf844dde9507736022ca5,89f3c2b0-bab9-4a3a-a0e7-48aeb1332450,completed,deepseek_school,SWC-101|SWC-107,2,0,rule_multi,"The SWC-101 label applies due to the integer overflow in findOnePercent when handling extreme values, while SWC-107 fits because the reentrancy vulnerability in transferFrom violates the checks-effects-interactions pattern. Evidence: Integer overflow in findOnePercent with large inputs causes transaction reverts (SWC-101); transferFrom updates allowance after external calls, enabling reentrancy attacks (SWC-107)","{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Integer overflow in findOnePercent with large inputs causes transaction reverts (SWC-101)"", ""transferFrom updates allowance after external calls, enabling reentrancy attacks (SWC-107)""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""The SWC-101 label applies due to the integer overflow in findOnePercent when handling extreme values, while SWC-107 fits because the reentrancy vulnerability in transferFrom violates the checks-effects-interactions pattern.\"",\n  \""evidence\"": [\""Integer overflow in findOnePercent with large inputs causes transaction reverts (SWC-101)\"", \""transferFrom updates allowance after external calls, enabling reentrancy attacks (SWC-107)\""]\n}"", ""reason"": ""The SWC-101 label applies due to the integer overflow in findOnePercent when handling extreme values, while SWC-107 fits because the reentrancy vulnerability in transferFrom violates the checks-effects-interactions pattern.""}",1,3982,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x005d36beef6cf9844d5cf844dde9507736022ca5/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x005d36beef6cf9844d5cf844dde9507736022ca5/record.json,1,0,6,1678.9655449390411,SWC-101,
0x009109ab7b8caff748cda2f272f36043528bef2c,d7d33b63-a545-44cc-9ca9-dc0635aa215f,completed,deepseek_school,SWC-105|SWC-107,2,0,rule_multi,"SWC-105 is applicable due to unprotected functions like executeActionDirect being public payable without access controls, potentially allowing unintended Ether deposits. SWC-107 fits because multiple findings show reentrancy risks from CEI violations in pullTokensIfNeeded and arbitrary external calls without safeguards, enabling state manipulation. Evidence: Public payable executeActionDirect lacks access controls, risking unintended Ether locks (Finding 5); pullTokensIfNeeded violates CEI pattern with external calls before state changes (Finding 2); Unrestricted external calls to user addresses in multiple functions enable reentrancy (Finding 3)","{""SWC-101"": 0.0, ""SWC-105"": 2.5, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [""re:arbitrary-send""], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Public payable executeActionDirect lacks access controls, risking unintended Ether locks (Finding 5)"", ""pullTokensIfNeeded violates CEI pattern with external calls before state changes (Finding 2)"", ""Unrestricted external calls to user addresses in multiple functions enable reentrancy (Finding 3)""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""SWC-105 is applicable due to unprotected functions like executeActionDirect being public payable without access controls, potentially allowing unintended Ether deposits. SWC-107 fits because multiple findings show reentrancy risks from CEI violations in pullTokensIfNeeded and arbitrary external calls without safeguards, enabling state manipulation.\"",\n  \""evidence\"": [\""Public payable executeActionDirect lacks access controls, risking unintended Ether locks (Finding 5)\"", \""pullTokensIfNeeded violates CEI pattern with external calls before state changes (Finding 2)\"", \""Unrestricted external calls to user addresses in multiple functions enable reentrancy (Finding 3)\""]\n}"", ""reason"": ""SWC-105 is applicable due to unprotected functions like executeActionDirect being public payable without access controls, potentially allowing unintended Ether deposits. SWC-107 fits because multiple findings show reentrancy risks from CEI violations in pullTokensIfNeeded and arbitrary external calls without safeguards, enabling state manipulation.""}",1,4039,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x009109ab7b8caff748cda2f272f36043528bef2c/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x009109ab7b8caff748cda2f272f36043528bef2c/record.json,1,0,7,1577.6978039741516,SWC-101|SWC-105|SWC-106,
0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d,812092cd-d2c3-4eff-8d24-dbc70bb924a0,completed,deepseek_school,SWC-101|SWC-107,2,0,rule_multi,SWC-101 is appropriate due to the identified critical reentrancy vulnerability in the `_beforeTokenTransfer` function. SWC-107 is justified because the contract uses Solidity ^0.8.0 but still contains unchecked blocks and arithmetic operations that need verification. Evidence: Critical reentrancy found in _beforeTokenTransfer (Finding 4); Unchecked blocks despite Solidity 0.8.0 usage (Finding 7); Multiple external calls with reentrancy risk (Finding 2),"{""SWC-101"": 8.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""kw:underflow"", ""re:\\boverflow\\b"", ""re:\\bunderflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Critical reentrancy found in _beforeTokenTransfer (Finding 4)"", ""Unchecked blocks despite Solidity 0.8.0 usage (Finding 7)"", ""Multiple external calls with reentrancy risk (Finding 2)""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""SWC-101 is appropriate due to the identified critical reentrancy vulnerability in the `_beforeTokenTransfer` function. SWC-107 is justified because the contract uses Solidity ^0.8.0 but still contains unchecked blocks and arithmetic operations that need verification.\"",\n  \""evidence\"": [\n    \""Critical reentrancy found in _beforeTokenTransfer (Finding 4)\"",\n    \""Unchecked blocks despite Solidity 0.8.0 usage (Finding 7)\"",\n    \""Multiple external calls with reentrancy risk (Finding 2)\""\n  ]\n}"", ""reason"": ""SWC-101 is appropriate due to the identified critical reentrancy vulnerability in the `_beforeTokenTransfer` function. SWC-107 is justified because the contract uses Solidity ^0.8.0 but still contains unchecked blocks and arithmetic operations that need verification.""}",0,0,,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d/record.json,1,0,11,1482.6569249629974,SWC-101,
0x011de1ed601467ddbe556357e18683205dee0bda,7ed9f0fc-6130-465a-ab11-709cddd86ea3,timeout,deepseek_school,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},0,0,,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260303_010424/deepseek_school/contracts/0x011de1ed601467ddbe556357e18683205dee0bda/record.json,1,0,0,,SWC-101,
