address,session_id,audit_status,model,pred_swc_list,pred_swc_count,is_other,pred_source,pred_reason,rule_scores_json,rule_matched_json,llm_fallback_json,llm_explanation_json,finding_number,execution_time,gt_swc_set,error
0x0000000020e0a4bc775eb0cbefc7cfbeafc88444,2758c942-6e8f-45dc-8afb-2dc4ddd10271,completed,deepseek,SWC-107,1,0,rule_multi,"The SWC-107 label (Reentrancy) is justified as multiple reentrancy vulnerabilities were found in key functions (withdrawUpTo() and submitClaim()) where external calls are made before state updates, and the fallback function also presents a reentrancy risk. These findings directly map to the reentrancy weakness class. Evidence: withdrawUpTo() function allows external transfer before state update (Finding 1); submitClaim() performs external transfer before state updates (Finding 2); Fallback function makes dangerous external call (Finding 3)","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 9.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""kw:reentrant"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""withdrawUpTo() function allows external transfer before state update (Finding 1)"", ""submitClaim() performs external transfer before state updates (Finding 2)"", ""Fallback function makes dangerous external call (Finding 3)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The SWC-107 label (Reentrancy) is justified as multiple reentrancy vulnerabilities were found in key functions (withdrawUpTo() and submitClaim()) where external calls are made before state updates, and the fallback function also presents a reentrancy risk. These findings directly map to the reentrancy weakness class.\"",\n  \""evidence\"": [\n    \""withdrawUpTo() function allows external transfer before state update (Finding 1)\"",\n    \""submitClaim() performs external transfer before state updates (Finding 2)\"",\n    \""Fallback function makes dangerous external call (Finding 3)\""\n  ]\n}\n```"", ""reason"": ""The SWC-107 label (Reentrancy) is justified as multiple reentrancy vulnerabilities were found in key functions (withdrawUpTo() and submitClaim()) where external calls are made before state updates, and the fallback function also presents a reentrancy risk. These findings directly map to the reentrancy weakness class.""}",10,255.91189408302307,SWC-101|SWC-105,
0x000000e45ffaab3552f1eba4b2799b6803322c12,a0478d21-d0c4-4af9-9212-4a73a19011fc,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,"The label set is reasonable because SWC-101 captures the critical reentrancy vulnerability in the Release function, while SWC-107 addresses the dangerous external initialization dependency from an unvalidated IBOT contract. Evidence: Reentrancy vulnerability violates checks-effects-interactions pattern (SWC-101); External initialization without validation creates dependency risk (SWC-107); Both findings are high/medium severity with clear security implications","{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Reentrancy vulnerability violates checks-effects-interactions pattern (SWC-101)"", ""External initialization without validation creates dependency risk (SWC-107)"", ""Both findings are high/medium severity with clear security implications""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The label set is reasonable because SWC-101 captures the critical reentrancy vulnerability in the Release function, while SWC-107 addresses the dangerous external initialization dependency from an unvalidated IBOT contract.\"",\n  \""evidence\"": [\n    \""Reentrancy vulnerability violates checks-effects-interactions pattern (SWC-101)\"",\n    \""External initialization without validation creates dependency risk (SWC-107)\"",\n    \""Both findings are high/medium severity with clear security implications\""\n  ]\n}\n```"", ""reason"": ""The label set is reasonable because SWC-101 captures the critical reentrancy vulnerability in the Release function, while SWC-107 addresses the dangerous external initialization dependency from an unvalidated IBOT contract.""}",6,235.1710331439972,SWC-101,
0x000ee2ed96e1d1277a67864dedd42140dcc6b835,e3878efa-211e-45c6-aadc-7e9bd5f9cd22,completed,deepseek,SWC-107,1,0,rule_multi,"The label SWC-107 (Reentrancy) is justified due to the violation of Checks-Effects-Interactions pattern in the _transfer function, which creates reentrancy risks. The documented findings show state changes after external interactions, a classic reentrancy vulnerability pattern. Additionally, the uncontrolled token minting could enable reentrancy attack vectors by manipulating contract state. Evidence: _transfer function performs state changes after external interactions (router check); No supply cap in minting allows manipulation of contract state during reentrancy; Static analysis confirmed the CEI violation as a reentrancy risk","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""_transfer function performs state changes after external interactions (router check)"", ""No supply cap in minting allows manipulation of contract state during reentrancy"", ""Static analysis confirmed the CEI violation as a reentrancy risk""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The label SWC-107 (Reentrancy) is justified due to the violation of Checks-Effects-Interactions pattern in the _transfer function, which creates reentrancy risks. The documented findings show state changes after external interactions, a classic reentrancy vulnerability pattern. Additionally, the uncontrolled token minting could enable reentrancy attack vectors by manipulating contract state.\"",\n  \""evidence\"": [\n    \""_transfer function performs state changes after external interactions (router check)\"",\n    \""No supply cap in minting allows manipulation of contract state during reentrancy\"",\n    \""Static analysis confirmed the CEI violation as a reentrancy risk\""\n  ]\n}\n```"", ""reason"": ""The label SWC-107 (Reentrancy) is justified due to the violation of Checks-Effects-Interactions pattern in the _transfer function, which creates reentrancy risks. The documented findings show state changes after external interactions, a classic reentrancy vulnerability pattern. Additionally, the uncontrolled token minting could enable reentrancy attack vectors by manipulating contract state.""}",8,233.0598201751709,SWC-101,
0x001fbf99b635bbce9181c6e5c3e2eee0efafc560,e5fc7a47-68cf-413b-a74c-0e7bea4ca56b,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable because the contract exhibits arithmetic vulnerabilities with array processing and violates CEI pattern with ETH transfers before state changes. Evidence: Arithmetic underflows possible when processing empty arrays (Finding 2); Violates Checks-Effects-Interactions pattern with external calls before state changes (Finding 4); Potential reentrancy via fallback function during send() operations (Finding 1),"{""SWC-101"": 5.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""kw:underflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Arithmetic underflows possible when processing empty arrays (Finding 2)"", ""Violates Checks-Effects-Interactions pattern with external calls before state changes (Finding 4)"", ""Potential reentrancy via fallback function during send() operations (Finding 1)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable because the contract exhibits arithmetic vulnerabilities with array processing and violates CEI pattern with ETH transfers before state changes.\"",\n  \""evidence\"": [\n    \""Arithmetic underflows possible when processing empty arrays (Finding 2)\"",\n    \""Violates Checks-Effects-Interactions pattern with external calls before state changes (Finding 4)\"",\n    \""Potential reentrancy via fallback function during send() operations (Finding 1)\""\n  ]\n}\n```"", ""reason"": ""The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable because the contract exhibits arithmetic vulnerabilities with array processing and violates CEI pattern with ETH transfers before state changes.""}",10,251.16837811470032,SWC-101,
0x0040da8480b899f555ab6904f574e0c54b31386b,1e0b5660-e4da-443c-8e78-9a497ae417ea,completed,deepseek,SWC-107,1,0,rule_multi,The SWC-107 label is appropriate due to multiple findings demonstrating that privileged functions lack proper access control. The contract shows vulnerable ownership patterns with insufficient checks on owner privileges. Evidence: Malicious owner can bypass transfer restrictions meant for router addresses; Ownership renunciation doesn't fully relinquish control (private _owner remains set); Potential unlimited token minting via owner-controlled increaseAllowance(),"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Malicious owner can bypass transfer restrictions meant for router addresses"", ""Ownership renunciation doesn't fully relinquish control (private _owner remains set)"", ""Potential unlimited token minting via owner-controlled increaseAllowance()""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The SWC-107 label is appropriate due to multiple findings demonstrating that privileged functions lack proper access control. The contract shows vulnerable ownership patterns with insufficient checks on owner privileges.\"",\n  \""evidence\"": [\n    \""Malicious owner can bypass transfer restrictions meant for router addresses\"",\n    \""Ownership renunciation doesn't fully relinquish control (private _owner remains set)\"",\n    \""Potential unlimited token minting via owner-controlled increaseAllowance()\""\n  ]\n}\n```"", ""reason"": ""The SWC-107 label is appropriate due to multiple findings demonstrating that privileged functions lack proper access control. The contract shows vulnerable ownership patterns with insufficient checks on owner privileges.""}",8,228.79632091522217,SWC-101,
0x004def62c71992615cf22786d0b7efb22850df4a,8f509968-9cd2-418d-87dc-e67a6e6b9298,completed,deepseek,,0,1,llm,"The label SWC-OTHER is appropriate as none of the findings directly match standard SWC IDs, but represent significant security issues. Critical access control omissions and inconsistent patterns justify this classification. The issues collectively demonstrate security anti-patterns not cleanly mapped to existing SWCs. Evidence: High severity finding shows unprotected critical function (registerMintedToken) without standard SWC-105 match; Medium findings show security anti-patterns (inconsistent access control, edge case handling) not matching specific SWCs; Combined impact requires classification beyond standard vulnerability types (SWC-OTHER covers non-standard security risks)","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}","{""confidence"": 0.0, ""labels"": [], ""raw"": ""```json\n{\n  \""labels\"": [],\n  \""confidence\"": 0.0,\n  \""reason\"": \""None of the findings match the specified SWC labels (101,105,106,107,115). Findings relate to access control and array access issues which don't fit these categories.\""\n}\n```"", ""reason"": ""None of the findings match the specified SWC labels (101,105,106,107,115). Findings relate to access control and array access issues which don't fit these categories."", ""source"": ""llm""}","{""evidence"": [""High severity finding shows unprotected critical function (registerMintedToken) without standard SWC-105 match"", ""Medium findings show security anti-patterns (inconsistent access control, edge case handling) not matching specific SWCs"", ""Combined impact requires classification beyond standard vulnerability types (SWC-OTHER covers non-standard security risks)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The label SWC-OTHER is appropriate as none of the findings directly match standard SWC IDs, but represent significant security issues. Critical access control omissions and inconsistent patterns justify this classification. The issues collectively demonstrate security anti-patterns not cleanly mapped to existing SWCs.\"",\n  \""evidence\"": [\n    \""High severity finding shows unprotected critical function (registerMintedToken) without standard SWC-105 match\"",\n    \""Medium findings show security anti-patterns (inconsistent access control, edge case handling) not matching specific SWCs\"",\n    \""Combined impact requires classification beyond standard vulnerability types (SWC-OTHER covers non-standard security risks)\""\n  ]\n}\n```"", ""reason"": ""The label SWC-OTHER is appropriate as none of the findings directly match standard SWC IDs, but represent significant security issues. Critical access control omissions and inconsistent patterns justify this classification. The issues collectively demonstrate security anti-patterns not cleanly mapped to existing SWCs.""}",3,198.91653299331665,SWC-101,
0x005d36beef6cf9844d5cf844dde9507736022ca5,ee390853-6bf7-4e87-9e79-f10fe16c9cf7,completed,deepseek,,0,1,llm,The contract contains multiple medium-severity issues including incorrect percentage calculations and approval race conditions that don't fit standard SWC classifications. The label captures these contract-specific vulnerabilities that impact core functionality. Evidence: Incorrect burn rate (10% instead of 1%) significantly alters tokenomics; Standard ERC20 approval race condition presents known risk pattern; Front-running vulnerability in transfer mechanism enables MEV exploitation,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}","{""confidence"": 0.7, ""labels"": [], ""raw"": ""```json\n{\n  \""labels\"": [],\n  \""confidence\"": 0.7,\n  \""reason\"": \""None of the findings directly match the specified SWC labels. Issues are mainly related to incorrect calculations, front-running vulnerabilities, and misleading function naming, but don't align with integer overflows, unprotected withdrawals, selfdestruct, reentrancy, or tx.origin authorization.\""\n}\n```"", ""reason"": ""None of the findings directly match the specified SWC labels. Issues are mainly related to incorrect calculations, front-running vulnerabilities, and misleading function naming, but don't align with integer overflows, unprotected withdrawals, selfdestruct, reentrancy, or tx.origin authorization."", ""source"": ""llm""}","{""evidence"": [""Incorrect burn rate (10% instead of 1%) significantly alters tokenomics"", ""Standard ERC20 approval race condition presents known risk pattern"", ""Front-running vulnerability in transfer mechanism enables MEV exploitation""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The contract contains multiple medium-severity issues including incorrect percentage calculations and approval race conditions that don't fit standard SWC classifications. The label captures these contract-specific vulnerabilities that impact core functionality.\"",\n  \""evidence\"": [\n    \""Incorrect burn rate (10% instead of 1%) significantly alters tokenomics\"",\n    \""Standard ERC20 approval race condition presents known risk pattern\"",\n    \""Front-running vulnerability in transfer mechanism enables MEV exploitation\""\n  ]\n}\n```"", ""reason"": ""The contract contains multiple medium-severity issues including incorrect percentage calculations and approval race conditions that don't fit standard SWC classifications. The label captures these contract-specific vulnerabilities that impact core functionality.""}",5,183.9478349685669,SWC-101,
0x009109ab7b8caff748cda2f272f36043528bef2c,33bc2658-a1b7-4144-bca5-15bf8275fc58,completed,deepseek,,0,1,llm,"The SWC-OTHER label is appropriate as these findings represent vulnerabilities that don't neatly fit into standard SWC categories but still present security risks. Multiple medium-severity issues spanning input validation, interface completeness, and ownership management were identified across different contract components. Evidence: Missing cToken address validation could lead to incorrect debt calculations; Incomplete ICToken interface may cause integration problems with Compound; AdminVault ownership transfer lacks safeguards against accidental/malicious transfers","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}","{""confidence"": 0.9, ""labels"": [], ""raw"": ""```json\n{\n  \""labels\"": [],\n  \""confidence\"": 0.9,\n  \""reason\"": \""None of the findings match the specified SWC classifications, as they mainly relate to input validation, interface completeness, and access control issues rather than specific SWC categories provided.\""\n}\n```"", ""reason"": ""None of the findings match the specified SWC classifications, as they mainly relate to input validation, interface completeness, and access control issues rather than specific SWC categories provided."", ""source"": ""llm""}","{""evidence"": [""Missing cToken address validation could lead to incorrect debt calculations"", ""Incomplete ICToken interface may cause integration problems with Compound"", ""AdminVault ownership transfer lacks safeguards against accidental/malicious transfers""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The SWC-OTHER label is appropriate as these findings represent vulnerabilities that don't neatly fit into standard SWC categories but still present security risks. Multiple medium-severity issues spanning input validation, interface completeness, and ownership management were identified across different contract components.\"",\n  \""evidence\"": [\n    \""Missing cToken address validation could lead to incorrect debt calculations\"",\n    \""Incomplete ICToken interface may cause integration problems with Compound\"",\n    \""AdminVault ownership transfer lacks safeguards against accidental/malicious transfers\""\n  ]\n}\n```"", ""reason"": ""The SWC-OTHER label is appropriate as these findings represent vulnerabilities that don't neatly fit into standard SWC categories but still present security risks. Multiple medium-severity issues spanning input validation, interface completeness, and ownership management were identified across different contract components.""}",5,190.63419699668884,SWC-101|SWC-105|SWC-106,
0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d,100a615d-19c3-41da-b1fc-69b7d5ba3b55,completed,deepseek,SWC-107,1,0,rule_multi,"The label SWC-107 is reasonable as the contract exhibits multiple instances of overprivileged admin functions without proper revocation mechanisms, leading to uncontrolled admin privileges. The findings demonstrate incomplete privilege management and lack of ownership transfer capabilities, which are core aspects of SWC-107. Evidence: Missing complete admin revocation mechanism (Finding 1); No owner transfer functionality (Finding 2); Admin privilege changes vulnerable to race conditions (Finding 5)","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Missing complete admin revocation mechanism (Finding 1)"", ""No owner transfer functionality (Finding 2)"", ""Admin privilege changes vulnerable to race conditions (Finding 5)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The label SWC-107 is reasonable as the contract exhibits multiple instances of overprivileged admin functions without proper revocation mechanisms, leading to uncontrolled admin privileges. The findings demonstrate incomplete privilege management and lack of ownership transfer capabilities, which are core aspects of SWC-107.\"",\n  \""evidence\"": [\n    \""Missing complete admin revocation mechanism (Finding 1)\"",\n    \""No owner transfer functionality (Finding 2)\"",\n    \""Admin privilege changes vulnerable to race conditions (Finding 5)\""\n  ]\n}\n```"", ""reason"": ""The label SWC-107 is reasonable as the contract exhibits multiple instances of overprivileged admin functions without proper revocation mechanisms, leading to uncontrolled admin privileges. The findings demonstrate incomplete privilege management and lack of ownership transfer capabilities, which are core aspects of SWC-107.""}",9,236.61825799942017,SWC-101,
0x011de1ed601467ddbe556357e18683205dee0bda,77e86e02-94b1-4b71-8aec-0977649e35bc,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,"The SWC-101 (Integer Overflow and Underflow) label applies due to unprotected arithmetic operations in balance transfers, while SWC-107 (Reentrancy) fits because of the cross-function race condition in allowance handling. Both issues are high-severity findings with potential fund loss impacts. Evidence: Unchecked _balances += operations make integer overflow possible (Findings 2 & 6); Approve race condition enables allowance double-spending (Finding 1); Both vulnerabilities appear in core transfer/approval functions (Locations 96-101 & 63-90)","{""SWC-101"": 8.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""kw:underflow"", ""re:\\boverflow\\b"", ""re:\\bunderflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Unchecked _balances += operations make integer overflow possible (Findings 2 & 6)"", ""Approve race condition enables allowance double-spending (Finding 1)"", ""Both vulnerabilities appear in core transfer/approval functions (Locations 96-101 & 63-90)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The SWC-101 (Integer Overflow and Underflow) label applies due to unprotected arithmetic operations in balance transfers, while SWC-107 (Reentrancy) fits because of the cross-function race condition in allowance handling. Both issues are high-severity findings with potential fund loss impacts.\"",\n  \""evidence\"": [\n    \""Unchecked _balances += operations make integer overflow possible (Findings 2 & 6)\"",\n    \""Approve race condition enables allowance double-spending (Finding 1)\"",\n    \""Both vulnerabilities appear in core transfer/approval functions (Locations 96-101 & 63-90)\""\n  ]\n}\n```"", ""reason"": ""The SWC-101 (Integer Overflow and Underflow) label applies due to unprotected arithmetic operations in balance transfers, while SWC-107 (Reentrancy) fits because of the cross-function race condition in allowance handling. Both issues are high-severity findings with potential fund loss impacts.""}",6,215.40786695480347,SWC-101,
