address,session_id,audit_status,model,pred_swc_list,pred_swc_count,is_other,pred_source,pred_reason,rule_scores_json,rule_matched_json,llm_fallback_json,llm_explanation_json,full_report_available,full_report_chars,full_report_path,static_summary_chars,static_summary_path,record_json_path,audit_attempts,empty_report_retries_used,finding_number,execution_time,gt_swc_set,error
0x0000000020e0a4bc775eb0cbefc7cfbeafc88444,97594e09-5dcb-4694-b67f-34db90f0dacd,completed,deepseek,SWC-105|SWC-107,2,0,llm,"SWC-105 is applicable due to the uncontrolled ETH transfer to user-derived addresses in dispersePaymentForShares, enabling fund drainage. SWC-107 fits because block.timestamp is used for critical withdrawal timing in withdrawUpTo and remainingDurationForWorkClaim, allowing minor miner manipulation. Evidence: dispersePaymentForShares transfers ETH to addresses from user data without validation, matching SWC-105; withdrawUpTo uses block.timestamp for exit checks, aligning with SWC-107's timestamp dependence; remainingDurationForWorkClaim relies on block.timestamp for duration logic, confirming SWC-107 relevance","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}","{""confidence"": 0.8, ""labels"": [""SWC-105"", ""SWC-107""], ""raw"": ""{\n  \""labels\"": [\""SWC-105\"", \""SWC-107\""],\n  \""confidence\"": 0.8,\n  \""reason\"": \""Finding 1 indicates unprotected ETH withdrawal to user-controlled addresses (SWC-105). Finding 2's external calls in loop with potential for reentrancy through fallback functions (SWC-107). Other findings don't map directly to specified SWCs.\""\n}"", ""reason"": ""Finding 1 indicates unprotected ETH withdrawal to user-controlled addresses (SWC-105). Finding 2's external calls in loop with potential for reentrancy through fallback functions (SWC-107). Other findings don't map directly to specified SWCs."", ""source"": ""llm""}","{""evidence"": [""dispersePaymentForShares transfers ETH to addresses from user data without validation, matching SWC-105"", ""withdrawUpTo uses block.timestamp for exit checks, aligning with SWC-107's timestamp dependence"", ""remainingDurationForWorkClaim relies on block.timestamp for duration logic, confirming SWC-107 relevance""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""SWC-105 is applicable due to the uncontrolled ETH transfer to user-derived addresses in dispersePaymentForShares, enabling fund drainage. SWC-107 fits because block.timestamp is used for critical withdrawal timing in withdrawUpTo and remainingDurationForWorkClaim, allowing minor miner manipulation.\"",\n  \""evidence\"": [\n    \""dispersePaymentForShares transfers ETH to addresses from user data without validation, matching SWC-105\"",\n    \""withdrawUpTo uses block.timestamp for exit checks, aligning with SWC-107's timestamp dependence\"",\n    \""remainingDurationForWorkClaim relies on block.timestamp for duration logic, confirming SWC-107 relevance\""\n  ]\n}"", ""reason"": ""SWC-105 is applicable due to the uncontrolled ETH transfer to user-derived addresses in dispersePaymentForShares, enabling fund drainage. SWC-107 fits because block.timestamp is used for critical withdrawal timing in withdrawUpTo and remainingDurationForWorkClaim, allowing minor miner manipulation.""}",1,3413,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x0000000020e0a4bc775eb0cbefc7cfbeafc88444/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x0000000020e0a4bc775eb0cbefc7cfbeafc88444/record.json,1,0,5,420.2078649997711,SWC-101|SWC-105,
0x000000e45ffaab3552f1eba4b2799b6803322c12,481363b7-c210-4f47-b018-c8ebdec6af8a,completed,deepseek,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x000000e45ffaab3552f1eba4b2799b6803322c12/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x000000e45ffaab3552f1eba4b2799b6803322c12/record.json,1,0,0,368.26765275001526,SWC-101,
0x000ee2ed96e1d1277a67864dedd42140dcc6b835,7a414bd3-d3e1-45e9-a11c-7aa87a748374,completed,deepseek,SWC-101,1,0,rule_multi,"The SWC-101 label is appropriate as multiple findings demonstrate integer arithmetic issues without safeguards. The decreaseAllowance function contains unchecked multiplication that could overflow, and the contract uses an outdated compiler version prone to known vulnerabilities. Evidence: decreaseAllowance performs rTotal = amount * 10**18 without overflow protection; Solidity version 0.6.9 lacks built-in overflow checks present in newer versions; No safemath or explicit checks found in arithmetic operations throughout contract","{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},"{""evidence"": [""decreaseAllowance performs rTotal = amount * 10**18 without overflow protection"", ""Solidity version 0.6.9 lacks built-in overflow checks present in newer versions"", ""No safemath or explicit checks found in arithmetic operations throughout contract""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""The SWC-101 label is appropriate as multiple findings demonstrate integer arithmetic issues without safeguards. The decreaseAllowance function contains unchecked multiplication that could overflow, and the contract uses an outdated compiler version prone to known vulnerabilities.\"",\n  \""evidence\"": [\n    \""decreaseAllowance performs rTotal = amount * 10**18 without overflow protection\"",\n    \""Solidity version 0.6.9 lacks built-in overflow checks present in newer versions\"",\n    \""No safemath or explicit checks found in arithmetic operations throughout contract\""\n  ]\n}"", ""reason"": ""The SWC-101 label is appropriate as multiple findings demonstrate integer arithmetic issues without safeguards. The decreaseAllowance function contains unchecked multiplication that could overflow, and the contract uses an outdated compiler version prone to known vulnerabilities.""}",1,3382,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x000ee2ed96e1d1277a67864dedd42140dcc6b835/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x000ee2ed96e1d1277a67864dedd42140dcc6b835/record.json,1,0,6,419.2673239707947,SWC-101,
0x001fbf99b635bbce9181c6e5c3e2eee0efafc560,022b0681-f9e5-41b3-98a6-74ce0e44c290,completed,deepseek,,0,1,llm,"The SWC-OTHER label is appropriate because the findings include issues not covered by standard SWC IDs, such as outdated constructor syntax and lack of withdrawal mechanism. These represent non-standard vulnerabilities requiring custom categorization. The high-severity unchecked send return also aligns with broader security concerns beyond typical SWC classifications. Evidence: Outdated constructor syntax 'function Ownable()' not matching any specific SWC ID; Missing withdrawal function for ETH recovery, a contract-specific flaw; Unchecked send() return value using deprecated throw pattern, not fitting common SWC patterns","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}","{""confidence"": 1.0, ""labels"": [], ""raw"": ""{\n  \""labels\"": [],\n  \""confidence\"": 1.0,\n  \""reason\"": \""None of the findings match the specified SWC categories. Issues include unchecked send return value (not reentrancy), input validation, outdated syntax, and missing withdrawal function - none correspond to integer overflow, unprotected withdrawal, selfdestruct, reentrancy, or tx.origin auth.\""\n}"", ""reason"": ""None of the findings match the specified SWC categories. Issues include unchecked send return value (not reentrancy), input validation, outdated syntax, and missing withdrawal function - none correspond to integer overflow, unprotected withdrawal, selfdestruct, reentrancy, or tx.origin auth."", ""source"": ""llm""}","{""evidence"": [""Outdated constructor syntax 'function Ownable()' not matching any specific SWC ID"", ""Missing withdrawal function for ETH recovery, a contract-specific flaw"", ""Unchecked send() return value using deprecated throw pattern, not fitting common SWC patterns""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""The SWC-OTHER label is appropriate because the findings include issues not covered by standard SWC IDs, such as outdated constructor syntax and lack of withdrawal mechanism. These represent non-standard vulnerabilities requiring custom categorization. The high-severity unchecked send return also aligns with broader security concerns beyond typical SWC classifications.\"",\n  \""evidence\"": [\n    \""Outdated constructor syntax 'function Ownable()' not matching any specific SWC ID\"",\n    \""Missing withdrawal function for ETH recovery, a contract-specific flaw\"",\n    \""Unchecked send() return value using deprecated throw pattern, not fitting common SWC patterns\""\n  ]\n}"", ""reason"": ""The SWC-OTHER label is appropriate because the findings include issues not covered by standard SWC IDs, such as outdated constructor syntax and lack of withdrawal mechanism. These represent non-standard vulnerabilities requiring custom categorization. The high-severity unchecked send return also aligns with broader security concerns beyond typical SWC classifications.""}",1,2199,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x001fbf99b635bbce9181c6e5c3e2eee0efafc560/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x001fbf99b635bbce9181c6e5c3e2eee0efafc560/record.json,1,0,4,396.32387804985046,SWC-101,
0x0040da8480b899f555ab6904f574e0c54b31386b,a7510368-94a0-42d3-a1f5-69f947410df2,completed,deepseek,,0,1,llm,"The SWC-OTHER label is appropriate as none of the findings match standard SWC identifiers precisely, but collectively represent non-standard security flaws. Issues include predictable PRNG, unreliable timestamp checks, and missing validations that don't align with specific SWC codes. Evidence: Weak PRNG using block.timestamp % 10000000 lacks standard SWC classification; Strict equality check with manipulable timestamp doesn't fit existing SWC patterns; Missing zero checks in setrouteChain/Approve represent custom authorization flaws","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}","{""confidence"": 0.9, ""labels"": [], ""raw"": ""{\n  \""labels\"": [],\n  \""confidence\"": 0.9,\n  \""reason\"": \""Findings relate to PRNG predictability, timestamp reliance, equality checks, zero address validation, and event emissions, none of which align with the specified SWC labels.\""\n}"", ""reason"": ""Findings relate to PRNG predictability, timestamp reliance, equality checks, zero address validation, and event emissions, none of which align with the specified SWC labels."", ""source"": ""llm""}","{""evidence"": [""Weak PRNG using block.timestamp % 10000000 lacks standard SWC classification"", ""Strict equality check with manipulable timestamp doesn't fit existing SWC patterns"", ""Missing zero checks in setrouteChain/Approve represent custom authorization flaws""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""The SWC-OTHER label is appropriate as none of the findings match standard SWC identifiers precisely, but collectively represent non-standard security flaws. Issues include predictable PRNG, unreliable timestamp checks, and missing validations that don't align with specific SWC codes.\"",\n  \""evidence\"": [\n    \""Weak PRNG using block.timestamp % 10000000 lacks standard SWC classification\"",\n    \""Strict equality check with manipulable timestamp doesn't fit existing SWC patterns\"",\n    \""Missing zero checks in setrouteChain/Approve represent custom authorization flaws\""\n  ]\n}"", ""reason"": ""The SWC-OTHER label is appropriate as none of the findings match standard SWC identifiers precisely, but collectively represent non-standard security flaws. Issues include predictable PRNG, unreliable timestamp checks, and missing validations that don't align with specific SWC codes.""}",1,2756,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x0040da8480b899f555ab6904f574e0c54b31386b/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x0040da8480b899f555ab6904f574e0c54b31386b/record.json,1,0,5,401.35250210762024,SWC-101,
0x004def62c71992615cf22786d0b7efb22850df4a,bd8ca392-c2aa-4133-beae-48c254f8b00a,completed,deepseek,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x004def62c71992615cf22786d0b7efb22850df4a/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x004def62c71992615cf22786d0b7efb22850df4a/record.json,1,0,0,364.295716047287,SWC-101,
0x005d36beef6cf9844d5cf844dde9507736022ca5,b828bf7a-1938-4389-82a0-e8c00656e5c1,completed,deepseek,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x005d36beef6cf9844d5cf844dde9507736022ca5/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x005d36beef6cf9844d5cf844dde9507736022ca5/record.json,1,0,0,366.2245409488678,SWC-101,
0x009109ab7b8caff748cda2f272f36043528bef2c,ff206651-4e32-4a03-8c2f-27e660a7bd28,completed,deepseek,SWC-105,1,0,rule_multi,"SWC-105 is justified as the contract uses transferFrom with an arbitrary 'from' address without authorization, allowing unauthorized token transfers. This directly matches the unprotected call to an external contract pattern described in SWC-105. Evidence: TokenUtils.pullTokensIfNeeded calls IERC20(_token).safeTransferFrom(_from, address(this), _amount) without access control.; Static analysis detected arbitrary-send-erc20 vulnerability confirming unauthorized transfer risk.; Impact confirms potential loss of user funds if exploited by an attacker.","{""SWC-101"": 0.0, ""SWC-105"": 2.5, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [""re:arbitrary-send""], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},"{""evidence"": [""TokenUtils.pullTokensIfNeeded calls IERC20(_token).safeTransferFrom(_from, address(this), _amount) without access control."", ""Static analysis detected arbitrary-send-erc20 vulnerability confirming unauthorized transfer risk."", ""Impact confirms potential loss of user funds if exploited by an attacker.""], ""ok"": true, ""raw"": ""{\n  \""reason\"": \""SWC-105 is justified as the contract uses transferFrom with an arbitrary 'from' address without authorization, allowing unauthorized token transfers. This directly matches the unprotected call to an external contract pattern described in SWC-105.\"",\n  \""evidence\"": [\n    \""TokenUtils.pullTokensIfNeeded calls IERC20(_token).safeTransferFrom(_from, address(this), _amount) without access control.\"",\n    \""Static analysis detected arbitrary-send-erc20 vulnerability confirming unauthorized transfer risk.\"",\n    \""Impact confirms potential loss of user funds if exploited by an attacker.\""\n  ]\n}"", ""reason"": ""SWC-105 is justified as the contract uses transferFrom with an arbitrary 'from' address without authorization, allowing unauthorized token transfers. This directly matches the unprotected call to an external contract pattern described in SWC-105.""}",1,2914,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x009109ab7b8caff748cda2f272f36043528bef2c/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x009109ab7b8caff748cda2f272f36043528bef2c/record.json,1,0,5,406.10742831230164,SWC-101|SWC-105|SWC-106,
0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d,80459b45-1518-4652-8e28-393e41c3790b,completed,deepseek,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d/record.json,1,0,0,369.1139430999756,SWC-101,
0x011de1ed601467ddbe556357e18683205dee0bda,6133fa1d-a966-413f-b98a-2b7330361cb8,completed,deepseek,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x011de1ed601467ddbe556357e18683205dee0bda/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_000042/deepseek/contracts/0x011de1ed601467ddbe556357e18683205dee0bda/record.json,1,0,0,364.5067210197449,SWC-101,
